# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
IsArenaTeamCaptain | isCaptain = IsArenaTeamCaptain(team) | Returns whether the player is the captain of an arena team. Also returns 1 if the player is not on a team of the given `
IsAtStableMaster | isAtNPC = IsAtStableMaster() | Returns whether the player is interacting with a Stable Master NPC. The Pet Stable UI/API can be active without an NPC i
IsAttackAction | isAttack = IsAttackAction(slot) | Returns whether an action is the standard melee Attack action. Used in the default UI to flash the action button while a
IsAttackSpell | isAttack = IsAttackSpell(index, "bookType") or IsAttackSpell("name") | Returns whether a spell is the standard melee Attack spell
IsAuctionSortReversed | isReversed, isSorted = IsAuctionSortReversed("list", "sort") | Returns whether a sort criterion is applied in reverse order. No longer used in the default UI; see `GetAuctionSort()` i
IsAutoRepeatAction | isRepeating = IsAutoRepeatAction(slot) | Returns whether an action is an automatically repeating action. Used in the default UI to flash the action button while 
IsAutoRepeatSpell | isAutoRepeat = IsAutoRepeatSpell("spellName") | Returns whether a spell is an automatically repeating spell
IsAvailableQuestTrivial | trivial = IsAvailableQuestTrivial(index) | Returns whether a quest available from the current Quest NPC is trivial at the player's level. Only returns valid inform
IsConsumableAction | isConsumable = IsConsumableAction(slot) | Returns whether using an action consumes an item. Applies both to consumable items (such as food and potions) and to spe
IsConsumableItem | consumable = IsConsumableItem(itemID) or IsConsumableItem("itemName") or IsConsumableItem("itemLink") | Returns whether an item is consumable. Indicates whether the item is destroyed upon use, not necessarily whether it belo
IsConsumableSpell | isConsumable = IsConsumableSpell(index, "bookType") or IsConsumableSpell("name") | Returns whether casting a spell consumes a reagent item
IsControlKeyDown | isDown = IsControlKeyDown() | Returns whether a Control key on the keyboard is held down
IsCurrentAction | isCurrent = IsCurrentAction(slot) | Returns whether an action is currently being used
IsCurrentQuestFailed | isFailed = IsCurrentQuestFailed() | Returns whether the player has failed the selected quest in the quest log
IsCurrentSpell | isCurrent = IsCurrentSpell(index, "bookType") or IsCurrentSpell("name") | Returns whether a spell is currently being used
IsDesaturateSupported | isSupported = IsDesaturateSupported() | Returns whether the current hardware supports desaturated textures
IsDisplayChannelModerator | isModerator = IsDisplayChannelModerator() | Returns whether the player is a moderator of the selected channel in the channel list display
IsDisplayChannelOwner | isOwner = IsDisplayChannelOwner() | Returns whether the player is the owner of the selected channel in the channel list display
IsDressableItem | isDressable = IsDressableItem(itemID) or IsDressableItem("itemName") or IsDressableItem("itemLink") | Returns whether an item's appearance can be previewed using the Dressing Room feature
IsEquippableItem | isEquippable = IsEquippableItem(itemID) or IsEquippableItem("itemName") or IsEquippableItem("itemLink") | Returns whether an item can be equipped. Indicates whether an item is capable of being equipped on a character, not nece
IsEquippedAction | isEquipped = IsEquippedAction(slot) | Returns whether an action contains an equipped item. Applies to actions involving equippable items (not to consumables o
IsEquippedItem | isEquipped = IsEquippedItem(itemID) or IsEquippedItem("itemName") or IsEquippedItem("itemLink") | Returns whether an item is currently equipped
IsEquippedItemType | isEquipped = IsEquippedItemType("type") | Returns whether any items of a given type are currently equipped. Possible arguments include the localized names of item
IsFactionInactive | isInactive = IsFactionInactive(index) | Returns whether a faction is flagged as "inactive". "Inactive" factions behave no differently; the distinction only exis
IsFalling | falling = IsFalling() | Returns whether the player is currently falling
IsFishingLoot | isFishing = IsFishingLoot() | Returns whether the currently displayed loot came from fishing. Used in the default UI to play a fishing sound effect an
IsFlyableArea | isFlyable = IsFlyableArea() | Returns whether or not the player's current location is a flyable area
IsFlying | isFlying = IsFlying() | Returns whether the player is currently flying
IsGuildLeader | isLeader = IsGuildLeader() | Returns whether or player is leader of his or her guild
IsHarmfulItem | isHarmful = IsHarmfulItem(itemID) or IsHarmfulItem("itemName") or IsHarmfulItem("itemLink") | Returns whether an item can be used against hostile units. Harmful items include grenades and various quest items ("Use 
IsHarmfulSpell | isHarmful = IsHarmfulSpell(index, "bookType") or IsHarmfulSpell("name") | Returns whether a spell can be used against hostile units
IsHelpfulItem | isHarmful = IsHelpfulItem(itemID) or IsHelpfulItem("itemName") or IsHelpfulItem("itemLink") | Returns whether an item can be used on the player or friendly units. Helpful items include potions, scrolls, food and dr
IsHelpfulSpell | isHarmful = IsHelpfulSpell(index, "bookType") or IsHelpfulSpell("name") | Returns whether an item can be used on the player or friendly units
IsIgnored | isIgnored = IsIgnored("unit") or IsIgnored("name") | Returns whether a unit is on the player's ignore list
IsIgnoredOrMuted | isIgnoredOrMuted = IsIgnoredOrMuted("unit") | Returns whether a unit can be heard due to ignored/muted status
IsInArenaTeam | isInTeam = IsInArenaTeam() | Returns whether the player is on an arena team
IsInGuild | inGuild = IsInGuild() | Returns whether the player is in a guild
IsInInstance | isInstance, instanceType = IsInInstance() | Returns whether the player is in an instance (and its type if applicable)
IsInventoryItemLocked | isLocked = IsInventoryItemLocked(slot) | Returns whether an inventory slot is locked. Items become locked while being moved, split, or placed into other UI eleme
IsItemInRange | inRange = IsItemInRange(itemID, "unit") or IsItemInRange("itemName", "unit") or IsItemInRange("itemLink", "unit") | Returns whether the player is in range to use an item on a unit
IsLeftAltKeyDown | isDown = IsLeftAltKeyDown() | Returns whether the left Alt key is currently held down. (Note: The Mac WoW client does not distingish between left and 
IsLeftControlKeyDown | isDown = IsLeftControlKeyDown() | Returns whether the left Control key is held down. (Note: The Mac WoW client does not distingish between left and right 
IsLeftShiftKeyDown | isDown = IsLeftShiftKeyDown() | Returns whether the left Shift key on the keyboard is held down. (Note: The Mac WoW client does not distingish between l
IsLinuxClient | isLinux = IsLinuxClient() | Returns whether the player is using the Linux game client. Does not indicate whether the player is running a Windows cli
IsListedInLFR | listedInLFR = IsListedInLFR() | Returns whether the player is currently listed in the Raid Browser
IsLoggedIn | loggedIn = IsLoggedIn() | Returns whether the login process has completed. The `PLAYER_LOGIN` event provides similar information; this function pr
IsMacClient | isMac = IsMacClient() | Returns whether the player is using the Mac OS X game client
IsModifiedClick | modifiedClick = IsModifiedClick("type") | Determines if the modifiers specified in the click-type had been held down while the button click occurred.. If called f
IsModifierKeyDown | isDown = IsModifierKeyDown() | Returns whether a modifier key is held down. Modifier keys include shift, control or alt on either side of the keyboard.
IsMounted | mounted = IsMounted() | Returns whether or not your character is mounted.
IsMouseButtonDown | isDown = IsMouseButtonDown([button]) | Returns whether a given mouse button is held down. If no button is specified, returns 1 if any mouse button is held down
IsMouselooking | isLooking = IsMouselooking() | Returns whether mouselook mode is active
IsMuted | muted = IsMuted("unit") or IsMuted("name") | Returns whether a character has been muted by the player
IsOutdoors | isOutdoors = IsOutdoors() | Returns whether the player is currently outdoors. "Outdoors" as defined by this function corresponds to the ability to u
IsOutOfBounds | outOfBounds = IsOutOfBounds() | Returns whether the player is currently outside the bounds of the world. Used in the default UI (in conjunction with `Is
IsPartyLeader | isLeader = IsPartyLeader(unit) | Returns whether or not a unit is the current party leader
IsPassiveSpell | isPassive = IsPassiveSpell(index, "bookType") or IsPassiveSpell("name") | Returns whether a spell is passive (cannot be cast)
IsPetAttackActive | isActive = IsPetAttackActive() | Returns whether the pet's attack action is currently active
IsPlayerResolutionAvailable | isAvailable = IsPlayerResolutionAvailable() | Returns whether the current hardware supports high resolution player textures
IsPossessBarVisible | isVisible = IsPossessBarVisible() | Returns whether a special action bar should be shown while the player possesses another unit. Used in the default UI to 
IsPVPTimerRunning | isRunning = IsPVPTimerRunning() | Returns whether the player's PvP flag will expire after a period of time.
IsQuestCompletable | isCompletable = IsQuestCompletable() | Returns whether the player can complete the quest presented by a questgiver
IsQuestLogSpecialItemInRange | inRange = IsQuestLogSpecialItemInRange(questIndex) | Returns whether the player's target is in range for using an item associated with a current quest. Available for a numbe
